i;mejor;media
0;41650;45795
0;41650;45570
800;33215;33579
1600;31504;31868
2400;28787;29383
3200;26458;26954
4000;26048;26366
4800;24595;25152
5600;23340;23641
6400;22635;23188
7200;22505;22933
8000;21710;22325
8800;21558;22010
9600;21179;21539
10400;19767;20210
11200;19767;20171
12000;19071;19624
12800;18837;19250
13600;18198;18526
14400;17899;18331
15200;17718;18072
16000;17602;18050
16800;17602;17821
17600;17312;17689
18400;17228;17717
19200;17008;17527
20000;16954;17376
20800;16849;17292
21600;16849;17160
22400;16687;17086
23200;16687;17234
24000;16687;17149
24800;16687;17181
25600;16596;16896
26400;16494;16884
27200;16494;16783
28000;16385;16656
28800;16183;16686
29600;16183;16601
30400;16142;16341
31200;16076;16305
32000;16048;16343
32800;16048;16343
33600;16029;16240
34400;15793;16212
35200;15514;15759
36000;15362;15726
36800;15362;15654
37600;15224;15512
38400;15224;15591
39200;15224;15575
40000;15224;15622
40800;15217;15706
41600;15217;15585
42400;15217;15617
43200;15217;15458
44000;15217;15451
44800;15139;15331
45600;15139;15395
46400;15139;15415
47200;15083;15421
48000;15083;15336
48800;14979;15254
49600;14822;15189
50400;14822;15132
51200;14809;15211
52000;14809;15191
52800;14777;15014
53600;14693;14934
54400;14657;15016
55200;14657;15075
56000;14657;14980
56800;14657;14847
57600;14641;14952
58400;14586;14984
59200;14586;14893
60000;14550;14900
60800;14550;14912
61600;14550;14958
62400;14507;14816
63200;14507;14811
64000;14507;14864
64800;14507;14828
65600;14507;14838
66400;14507;14815
